"Month","PI_All_Downtown","YoY","MoM"
2010-05-01,871412.412467327,-0.03951116455974,0.00215053309925284
2010-06-01,873807.352852896,-0.0276920324450539,0.00274834320845629
2010-07-01,876435.19172482,-0.0166207673587021,0.00300734351037923
2010-08-01,879347.968463508,-0.00587721405112551,0.00332343653722456
2010-09-01,882341.519361988,0.00386293386071257,0.0034042847721707
2010-10-01,885208.046705472,0.0121269449998733,0.00324877304375026
2010-11-01,888056.582239497,0.0193075812428611,0.00321792774549001
2010-12-01,890640.372144992,0.0248316272458642,0.00290948792809975
2011-01-01,893102.392236062,0.029076333342835,0.00276432572345708
2011-02-01,895332.884798937,0.0318940733223017,0.00249746566828679
2011-03-01,897137.777598219,0.0333101443222321,0.00201589021237347
2011-04-01,898923.46314193,0.0337890703810562,0.00199042509222136
2011-05-01,900470.563910149,0.033346038026411,0.00172105950245416
2011-06-01,901932.734456907,0.0321871651825583,0.00162378494684834
2011-07-01,903268.106241283,0.0306159711177909,0.00148056693516074
2011-08-01,904623.132363885,0.028743074194554,0.00150013723858877
2011-09-01,906021.65154954,0.0268378305541774,0.00154596885224523
2011-10-01,907483.094622384,0.0251636301768992,0.0016130332761306
2011-11-01,909168.507733849,0.023773176075236,0.00185723912814706
2011-12-01,911028.767121954,0.0228918378445606,0.00204611067396332
2012-01-01,913248.011814603,0.02255689801491,0.00243597652756833
2012-02-01,915821.660274148,0.0228839751371495,0.00281812653983327
2012-03-01,918592.528292586,0.0239146664315097,0.00302555414294203
2012-04-01,921975.079097782,0.0256435802390576,0.0036823190925388
2012-05-01,925690.384527744,0.0280073792840951,0.004029724353936
2012-06-01,930012.410400355,0.0311327828237176,0.00466897565843905
2012-07-01,934674.929614278,0.0347702118075297,0.00501339461902028
2012-08-01,939995.524059954,0.0391017987829216,0.0056924544321213
2012-09-01,945821.00845897,0.0439276002304831,0.00619735333829619
2012-10-01,951930.636535952,0.0489789200228161,0.00645960284487224
2012-11-01,958719.682536031,0.0545016401037595,0.0071318704740766
2012-12-01,965727.125515841,0.0600402098900621,0.00730916774470902
2013-01-01,973390.816386436,0.0658559381392247,0.00793566906024412
2013-02-01,981445.011953732,0.0716551644562984,0.0082743697923886
2013-03-01,989020.671578516,0.0766696234910991,0.00771888341426563
2013-04-01,997700.561716579,0.082133979904208,0.0087762474410269
2013-05-01,1006345.23937051,0.0871294076192777,0.00866460137002933
2013-06-01,1015477.27335882,0.0918964757918348,0.00907445440296617
2013-07-01,1024453.45755109,0.0960532106856196,0.00883937477259145
2013-08-01,1033815.08623029,0.0998085201141414,0.0091381688550185
2013-09-01,1043206.16134212,0.102963617864463,0.00908390217642263
2013-10-01,1052266.34899373,0.105402335639601,0.00868494453671209
2013-11-01,1061544.38603945,0.10725210442267,0.0088171944817903
2013-12-01,1070398.9361261,0.108386528497218,0.00834119628259877
2014-01-01,1079378.21961258,0.108884737190773,0.00838872609401209
2014-02-01,1088145.54042955,0.108717785689702,0.00812256598998973
2014-03-01,1095862.87617555,0.108028282590405,0.00709219075874734
2014-04-01,1104174.52324345,0.10671935609987,0.00758456851545719
