"Month","PI_All_Upper_Manhattan","YoY","MoM"
2005-08-01,489440.335135473,0.177083447604812,0.0078546978013434
2005-09-01,492874.920267602,0.162032437114521,0.00701737246722534
2005-10-01,495881.498686423,0.147876919798483,0.00610008400749718
2005-11-01,498713.346195397,0.133930646089555,0.00571073435180591
2005-12-01,501238.469265394,0.121278446664776,0.00506327550537966
2006-01-01,503671.477174347,0.109230762595941,0.00485399277617038
2006-02-01,505970.584974191,0.0983566847636368,0.00456469723626718
2006-03-01,507967.897549528,0.0896045727552051,0.00394748753119534
2006-04-01,510119.553599019,0.0811190655474552,0.00423581108150883
2006-05-01,512162.86859776,0.0740754565432744,0.00400556101863669
2006-06-01,514239.018818582,0.0679273757247065,0.00405369140974043
2006-07-01,516214.546532959,0.0629881079429764,0.00384165269861247
2006-08-01,518217.36942041,0.0587957963803125,0.00387982651961849
2006-09-01,520160.125465323,0.0553592890928722,0.00374892112760628
2006-10-01,521957.013896522,0.0525841663364588,0.00345449092160233
2006-11-01,523691.325708356,0.0500848427328286,0.00332271004251172
2006-12-01,525213.868452186,0.0478323206555371,0.00290732855231335
2007-01-01,526585.73020105,0.045494442439455,0.0026120059489414
2007-02-01,527706.041609956,0.0429579451478865,0.00212750050875554
2007-03-01,528462.254737514,0.0403457724136742,0.00143301965096043
2007-04-01,528978.024193752,0.0369687271575501,0.00097598163655932
2007-05-01,529118.943559058,0.0331068025445158,0.000266399280992369
2007-06-01,528857.596091898,0.0284275924975528,-0.000493929522542014
2007-07-01,528183.996336363,0.0231869672867502,-0.00127368834354102
2007-08-01,527031.554953578,0.0170086648060952,-0.00218189379227396
2007-09-01,525409.994003072,0.0100927931241424,-0.00307678152335478
2007-10-01,523392.914328943,0.00275099365310094,-0.00383905844417032
2007-11-01,520849.194098887,-0.00542711225095149,-0.00486005859157967
2007-12-01,517963.112748593,-0.0138053393848141,-0.00554110745104852
2008-01-01,514571.669400584,-0.0228150139880906,-0.00654765419493275
2008-02-01,510810.214397621,-0.0320174981525475,-0.00730987581835696
2008-03-01,507000.952471257,-0.0406108517190439,-0.00745729395966821
2008-04-01,502669.442554826,-0.0497347345932274,-0.00854339601398735
2008-05-01,498284.515643827,-0.0582750405945155,-0.00872328122575472
2008-06-01,493623.02963986,-0.0666239205268327,-0.00935506895682725
2008-07-01,489053.326716969,-0.0740852996130423,-0.00925747513487041
2008-08-01,484341.73136091,-0.0810005078280912,-0.00963411370225964
2008-09-01,479711.931253879,-0.0869760059206756,-0.00955895353890357
2008-10-01,475373.61684116,-0.0917461741899004,-0.00904358247121118
2008-11-01,471098.853545616,-0.0955177450919221,-0.00899242857428573
2008-12-01,467206.496738618,-0.0979927233440099,-0.00826229309985271
2009-01-01,463478.080806727,-0.0992934349716055,-0.00798023134934467
2009-02-01,460085.037027708,-0.0993033732297844,-0.00732082900902853
2009-03-01,457323.735705605,-0.0979824919923968,-0.00600171946460681
2009-04-01,454609.387653708,-0.0956096608078104,-0.00593528793712916
2009-05-01,452313.276128375,-0.0922590168310832,-0.00505073495552633
2009-06-01,450264.606635465,-0.0878371153712755,-0.00452931541264057
2009-07-01,448574.396591049,-0.0827699719326258,-0.00375381502234029
2009-08-01,447089.857137335,-0.0769123777934734,-0.00330946096120477
2009-09-01,445824.474306374,-0.0706412635160626,-0.00283026512625995
2009-10-01,444757.380470874,-0.064404576286185,-0.00239352906132029
2009-11-01,443762.878321706,-0.0580259854554355,-0.00223605541546079
2009-12-01,442852.544667877,-0.0521267410465104,-0.00205139658655618
2010-01-01,441909.206645475,-0.0465369885965472,-0.00213014023236446
2010-02-01,440908.400699801,-0.0416806346317944,-0.00226473205496469
2010-03-01,439919.040044798,-0.0380577133919205,-0.0022439142765982
2010-04-01,438692.1508665,-0.0350129962545623,-0.00278889765301649
2010-05-01,437340.218501553,-0.0331032901686756,-0.00308173365371689
2010-06-01,435753.024509169,-0.0322290091480464,-0.0036291974193966
2010-07-01,434022.128617928,-0.0324411470732856,-0.00397219478439814
2010-08-01,432040.727811564,-0.0336601895246037,-0.00456520687706308
2010-09-01,429877.288061507,-0.0357701004855735,-0.0050074902915177
2010-10-01,427628.017300393,-0.0385139492285573,-0.00523235542695788
2010-11-01,425180.392768742,-0.0418748085086387,-0.00572372349946149
2010-12-01,422735.560109838,-0.0454259206597206,-0.00575010677934495
2011-01-01,420187.358001788,-0.0491545510186966,-0.00602788681271171
2011-02-01,417677.725926316,-0.0526882108315764,-0.00597265012304538
2011-03-01,415496.647619947,-0.0555156522035608,-0.00522191673384631
2011-04-01,413242.002998428,-0.0580136841240557,-0.00542638462773082
2011-05-01,411285.412227141,-0.0595756008072693,-0.00473473353892084
