"Month","PI_All_Upper_East_Side","YoY","MoM"
2005-08-01,785738.569124743,0.172572280666357,0.00940825352137775
2005-09-01,792417.007912479,0.163120414780153,0.00849956849537703
2005-10-01,798256.852827866,0.153397935055441,0.00736966124789684
2005-11-01,803664.711735611,0.142922852086552,0.00677458500805606
2005-12-01,808321.19123323,0.132535975656707,0.00579405743417838
2006-01-01,812595.238453982,0.121741132073573,0.00528756052310242
2006-02-01,816389.529024031,0.111076332853337,0.00466934876122127
2006-03-01,819464.798267112,0.101709524221787,0.00376691411850527
2006-04-01,822569.403377207,0.0918179229901965,0.00378857654003051
2006-05-01,825368.343122578,0.0828915017397791,0.00340267913428272
2006-06-01,828151.2553185,0.0745042901929671,0.00337172150968823
2006-07-01,830837.67008702,0.0673453416656262,0.00324386970528279
2006-08-01,833708.124111046,0.0610502740621957,0.00345489152378664
2006-09-01,836769.560467479,0.0559712274119923,0.00367207211720122
2006-10-01,839994.906961868,0.0522864964906256,0.00385452177847756
2006-11-01,843649.518909331,0.0497530955258287,0.0043507548881232
2006-12-01,847537.655180588,0.0485159418962238,0.00460871035199961
2007-01-01,851950.189951126,0.0484311864440889,0.00520629938217643
2007-02-01,856755.849996537,0.0494449273752471,0.00564077583653888
2007-03-01,861411.210098182,0.0511875701308619,0.00543370681584987
2007-04-01,866847.176495842,0.0538286166940372,0.00631053593676856
2007-05-01,872312.844339992,0.0568770314594458,0.00630522656397692
2007-06-01,878080.72979215,0.0602902841153659,0.00661217531024882
2007-07-01,883654.625133484,0.0635707274092805,0.00634781649593119
2007-08-01,889264.029511451,0.0666371165084212,0.00634796018537265
2007-09-01,894563.260981967,0.0690676420903751,0.00595912045765168
2007-10-01,899243.367648242,0.0705343094289315,0.00523172241741543
2007-11-01,903458.595974514,0.0708932746651765,0.00468752784609938
2007-12-01,906786.69344419,0.069907263590522,0.00368372992908017
2008-01-01,909302.226476129,0.0673185324699483,0.00277411771712766
2008-02-01,910767.213030934,0.0630417207359786,0.0016111107090131
2008-03-01,911094.533935196,0.057676662730394,0.000359390302569151
2008-04-01,910243.333712943,0.0500620621417109,-0.000934261144752591
