"Month","PI_All_Midtown","YoY","MoM"
1998-05-01,267570.306527699,0.111794295944734,0.00837004605478686
1998-06-01,269848.398346006,0.1116717091929,0.00851399337942316
1998-07-01,272047.270417653,0.111179740393455,0.00814854594329684
1998-08-01,274328.960978477,0.110409829203443,0.0083871106566189
1998-09-01,276645.004336665,0.109542961971326,0.00844257693364514
1998-10-01,278944.588035021,0.10877688814068,0.00831239914803383
1998-11-01,281409.26296785,0.108229918814876,0.00883571518698578
1998-12-01,283913.952135164,0.108119789644823,0.00890052140039232
1999-01-01,286662.453458556,0.108625560298879,0.00968075468895746
1999-02-01,289609.802033966,0.109928175800991,0.0102815996299834
1999-03-01,292472.712041212,0.111916739034342,0.00988540438596863
1999-04-01,295896.267079383,0.11511974678472,0.0117055537054305
1999-05-01,299489.302862305,0.119291997489647,0.0121428898660547
1999-06-01,303513.782560644,0.124756657519501,0.0134378078277797
1999-07-01,307716.899716413,0.131115556660424,0.013848192066628
1999-08-01,312382.287682679,0.138714215839528,0.0151612991375056
1999-09-01,317374.190610301,0.147225453686739,0.0159801087464084
1999-10-01,322498.517731516,0.156138285396765,0.0161460108377487
1999-11-01,328070.62072946,0.165813155080616,0.0172779181657583
1999-12-01,333691.282132458,0.175325409769212,0.0171324740706758
2000-01-01,339690.005723906,0.184982552216298,0.0179768663811462
2000-02-01,345833.619908561,0.194136446624831,0.0180859433045799
2000-03-01,351657.692553989,0.202360692386361,0.0168406780317296
2000-04-01,357905.010949723,0.209562440521439,0.0177653397835873
2000-05-01,363914.84813866,0.215118018108231,0.01679171010484
2000-06-01,370027.868976845,0.219146840235863,0.0167979428963978
2000-07-01,375793.964258829,0.221232777936975,0.01558286757678
2000-08-01,381546.648585501,0.221409355235528,0.0153080806872929
2000-09-01,387044.909910129,0.219522322107711,0.0144104563492089
2000-10-01,392096.701198898,0.215809312727829,0.0130522096000238
2000-11-01,397015.357329342,0.210152120438535,0.0125444976083808
2000-12-01,401465.333930761,0.203104052839477,0.0112085754852245
2001-01-01,405742.467001654,0.194449233609288,0.0106538042251756
2001-02-01,409700.224408512,0.184674366005358,0.00975435831527616
2001-03-01,413016.793148515,0.174485307427495,0.00809511086988213
2001-04-01,416423.951176425,0.163504109851434,0.00824944187362542
2001-05-01,419478.993641244,0.1526844694213,0.00733637548029797
2001-06-01,422417.662676244,0.141583372745036,0.00700552132418197
2001-07-01,425081.826678757,0.131156610024693,0.00630694272023113
2001-08-01,427676.907736973,0.120903326821215,0.00610489768167954
2001-09-01,430138.459410878,0.111339920503683,0.00575563381930166
2001-10-01,432417.051359322,0.102832668668566,0.00529734530496295
2001-11-01,434680.02426088,0.0948695465709495,0.0052333109770859
2001-12-01,436791.565699485,0.0879932307550535,0.0048576914529157
2002-01-01,438892.788514529,0.0817028637841353,0.00481058468168727
2002-02-01,440909.645454743,0.0761762361523919,0.00459532941299878
2002-03-01,442655.430259395,0.0717613365910332,0.00395950694807534
2002-04-01,444493.396032991,0.0674059327694014,0.00415213651060298
2002-05-01,446165.738386309,0.0636187869943456,0.00376235590504392
2002-06-01,447776.917241126,0.0600336037186913,0.00361116669478956
2002-07-01,449217.533315881,0.0567789661244757,0.00321726292554558
2002-08-01,450580.657998182,0.0535538623827119,0.00303444229400296
2002-09-01,451824.010342389,0.0504152801430764,0.00275944455700849
2002-10-01,452927.316793391,0.0474316759008317,0.0024418942458726
2002-11-01,453996.819679095,0.0444391146132397,0.00236131239174542
2002-12-01,454999.252065444,0.0416850685676609,0.00220801631839107
2003-01-01,456043.221935529,0.039076589704393,0.00229444304654414
2003-02-01,457155.562371566,0.0368463631592071,0.00243911187039747
2003-03-01,458274.377714843,0.0352846624885983,0.00244734054524631
2003-04-01,459706.980745641,0.0342267958274027,0.00312608144915782
2003-05-01,461355.919072421,0.0340460492126802,0.00358693340724381
2003-06-01,463404.311806315,0.0348999556776479,0.00443994029167816
2003-07-01,465790.030293219,0.0368919192779686,0.00514824404115766
2003-08-01,468741.090003785,0.0403045086007123,0.00633560084724949
2003-09-01,472239.45029042,0.0451844954688452,0.00746331047403337
2003-10-01,476193.233074435,0.0513678804929698,0.00837241103339403
2003-11-01,480909.449822619,0.059279336279376,0.00990399783242402
2003-12-01,486105.586624966,0.0683656828408319,0.01080481326425
2004-01-01,492139.549265651,0.0791511102323228,0.0124128642144992
2004-02-01,498836.115482826,0.0911736759693704,0.0136070474871759
2004-03-01,505683.656473969,0.103451733425573,0.0137270353501071
2004-04-01,513602.802777859,0.117239511883851,0.0156602773344674
2004-05-01,521811.368054116,0.131038633043321,0.0159823218095005
2004-06-01,530800.115472923,0.145436289541426,0.0172260475127768
2004-07-01,539920.85314591,0.159150728936867,0.0171829986601642
2004-08-01,549706.695004305,0.172729907249793,0.0181245858561996
2004-09-01,559780.546164589,0.185374381196517,0.0183258658696257
2004-10-01,569717.859862657,0.196400579202693,0.0177521597814618
2004-11-01,580089.568451057,0.206234497294698,0.0182049911352617
2004-12-01,590138.453914667,0.214012902036371,0.0173229894315157
2005-01-01,600442.319477423,0.220065163170438,0.0174600816035708
2005-02-01,610572.250882937,0.223993676343905,0.0168707818834808
2005-03-01,619497.736603993,0.225069722291653,0.0146182302064146
2005-04-01,629052.972461921,0.224784929248129,0.0154241658901104
2005-05-01,637907.648577321,0.222487066458784,0.0140762010562416
2005-06-01,646584.863177301,0.218132484016545,0.013602618841978
2005-07-01,654466.657226719,0.212152954295792,0.012189883336716
2005-08-01,662044.376151981,0.204359310462457,0.0115784644513026
2005-09-01,669018.287580326,0.19514386872533,0.0105339032843679
2005-10-01,675171.659069481,0.185098285723825,0.00919761328410096
