"Month","PI_All_Upper_West_Side","YoY","MoM"
2002-07-01,562238.028566759,0.0961948715475316,0.00788233247348269
2002-08-01,566616.639831297,0.0981380727869332,0.00778782480384654
2002-09-01,570815.687977752,0.0992218717114453,0.00741073920403168
2002-10-01,574713.062923402,0.0993770629272335,0.00682772920880614
2002-11-01,578610.715237727,0.0986942130246271,0.00678191007961182
2002-12-01,582306.634679755,0.0973475634732595,0.00638757517739674
2003-01-01,586105.917788768,0.095461018802693,0.00652454030701888
2003-02-01,589972.638714837,0.0933514776243631,0.00659730742978537
2003-03-01,593600.817493099,0.0914971679002485,0.00614974075097052
2003-04-01,597845.896432576,0.0897824667947191,0.00715140345898635
2003-05-01,602257.335298834,0.0887273811479918,0.00737888959777355
2003-06-01,607203.596341684,0.0884887643178649,0.00821286973681423
2003-07-01,612415.313224071,0.0892456257098484,0.00858314561011575
2003-08-01,618276.571504116,0.0911726342667953,0.00957072456139052
2003-09-01,624619.467462323,0.0942577098313193,0.0102589945188709
2003-10-01,631205.492259545,0.0982967553387117,0.0105440594478738
2003-11-01,638453.72204287,0.103425334562904,0.0114831538575146
2003-12-01,645844.652495697,0.109114363518947,0.011576297854726
2004-01-01,653805.956509334,0.115508198545379,0.0123269643603507
2004-02-01,662020.373038379,0.122120467282156,0.0125639976926819
2004-03-01,669863.562690462,0.128474798130226,0.011847353905569
2004-04-01,678342.476731857,0.134644363672334,0.0126576731645767
2004-05-01,686569.778034052,0.139994048712387,0.0121285362252899
2004-06-01,695023.335961643,0.144629808105651,0.0123127440182373
2004-07-01,703106.653409094,0.148087969432993,0.0116302820771719
2004-08-01,711309.417971591,0.150471246615651,0.0116664584565163
2004-09-01,719313.871777701,0.151603350917156,0.0112531250168679
2004-10-01,726843.196324059,0.151515956748343,0.0104673701450388
2004-11-01,734376.095890315,0.1502417019992,0.0103638578504313
2004-12-01,741410.670844267,0.147970596302502,0.00957898138749158
2005-01-01,748400.889337065,0.144683498040874,0.00942826798653629
2005-02-01,755093.02196038,0.14058879864201,0.00894190896705593
2005-03-01,760870.879437851,0.135859482163599,0.00765184859273416
2005-04-01,766961.337464248,0.13064029420558,0.00800458815153582
2005-05-01,772536.749081625,0.125212285477718,0.0072694819739032
2005-06-01,777955.836705486,0.119323332689393,0.00701466646124316
2005-07-01,782858.703813739,0.113428098024614,0.00630224349111663
2005-08-01,787570.65798765,0.107212470535718,0.00601890756397783
2005-09-01,791923.284417755,0.100942600287421,0.00552664879774345
2005-10-01,795797.617154183,0.0948683583733789,0.00489230814734287
2005-11-01,799471.220061215,0.088640036808364,0.00461625271029309
2005-12-01,802733.874665065,0.0827115203925608,0.00408101570385466
2006-01-01,805851.202601927,0.076764090053062,0.00388338904741303
2006-02-01,808764.438123129,0.0710792109075602,0.00361510352258132
2006-03-01,811269.257023982,0.0662377532747291,0.00309709327312335
2006-04-01,813973.676685674,0.0612968828087996,0.00333356606117818
