"Month","PI_Manhattan","YoY","MoM"
2008-02-01,856375.054721435,0.0558869939489401,0.00103447876847662
2008-03-01,856293.731547457,0.0502894681654367,-9.49621004597834e-05
2008-04-01,855172.557177283,0.0426783161470914,-0.00130933385223797
2008-05-01,853049.444995329,0.0340044647804352,-0.00248267108682954
2008-06-01,849784.123244748,0.0238184162437454,-0.00382782237271051
2008-07-01,845637.276102323,0.0129883599347183,-0.00487988305381659
2008-08-01,840397.100726899,0.00102759054024304,-0.00619671758035167
2008-09-01,834264.018785741,-0.0114655633930719,-0.00729783805281248
2008-10-01,827598.216197003,-0.0237820556175078,-0.00799003965008627
2008-11-01,820096.485501009,-0.0364474336290975,-0.00906445972112679
2008-12-01,812398.992812722,-0.0483525063247336,-0.0093860817896132
2009-01-01,804161.08182261,-0.0599995119544414,-0.0101402279704829
2009-02-01,795808.210519535,-0.0707246712383529,-0.0103870623583817
2009-03-01,788318.201191227,-0.0793834263312748,-0.00941182715797562
2009-04-01,780250.723061445,-0.0876101945590219,-0.0102337839182092
2009-05-01,772805.085672954,-0.094067653162607,-0.00954262158101804
2009-06-01,765624.350880631,-0.0990366494996023,-0.00929177993966013
2009-07-01,759296.419424011,-0.102101526408901,-0.00826506033845587
2009-08-01,753491.631972713,-0.103410005435547,-0.00764495564947065
2009-09-01,748504.259375769,-0.102796905390687,-0.00661901524226072
2009-10-01,744477.153625731,-0.100436493149093,-0.00538020418667584
2009-11-01,741151.352957257,-0.0962632250466519,-0.00446729715247429
2009-12-01,738739.913070185,-0.0906686005204309,-0.00325364026855002
2010-01-01,737034.887315458,-0.0834735677023963,-0.00230801899905531
2010-02-01,736064.004021317,-0.0750736241577784,-0.00131728268342524
2010-03-01,735744.257478116,-0.0666912721711446,-0.000434400461718387
2010-04-01,735919.977401949,-0.0568160263736207,0.000238832885268492
2010-05-01,736531.145504231,-0.0469380194840925,0.000830481738570699
2010-06-01,737512.158991158,-0.036717996047458,0.00133193754658589
2010-07-01,738698.835385231,-0.0271271976422655,0.00160902621008541
2010-08-01,740080.877015154,-0.0177981471704572,0.00187091350861834
2010-09-01,741534.582013437,-0.00931147321478809,0.00196425153443469
2010-10-01,742932.206689708,-0.00207521067436245,0.00188477342820081
2010-11-01,744309.021189582,0.00426049041093468,0.00185321687157569
2010-12-01,745532.490794351,0.00919481620525509,0.00164376565369762
2011-01-01,746665.584689169,0.0130668134432401,0.00151984508899172
2011-02-01,747653.536637057,0.0157452783350671,0.00132315184755627
2011-03-01,748415.740481796,0.017222673333684,0.0010194612977652
2011-04-01,749132.533214872,0.0179537941877419,0.000957746736612641
2011-05-01,749724.627567851,0.0179129995305056,0.000790373300754377
2011-06-01,750269.977168832,0.0172984513165526,0.000727399875805501
2011-07-01,750772.994038605,0.0163451708260469,0.000670447818891695
2011-08-01,751310.194895042,0.0151730955746041,0.000715530340998694
2011-09-01,751915.199536626,0.0139988313087209,0.000805266114708436
2011-10-01,752613.355682066,0.0130309992017901,0.000928503833770078
2011-11-01,753496.358672429,0.0123434450225561,0.00117324916399131
2011-12-01,754549.342038648,0.0120945114473674,0.00139746311193112
2012-01-01,755884.840087332,0.0123472349432061,0.00176992805411036
2012-02-01,757508.302784956,0.0131809262780003,0.00214776459524724
2012-03-01,759317.085694607,0.0145658951611494,0.00238780605176392
2012-04-01,761583.179135725,0.0166200843893698,0.00298438357809983
2012-05-01,764123.001055988,0.0192048826445059,0.00333492386628698
2012-06-01,767124.362714405,0.0224644275506978,0.00392785147714414
2012-07-01,770402.978075905,0.0261463640716548,0.00427390332109701
2012-08-01,774182.806448324,0.0304436326149908,0.00490630031293393
2012-09-01,778357.485664336,0.0351665801462782,0.00539236880648875
2012-10-01,782768.065991727,0.0400666691362828,0.00566652265652268
2012-11-01,787700.762898215,0.0453942528482156,0.00630160723309325
2012-12-01,792821.422431029,0.0507217729313463,0.00650076751731654
2013-01-01,798450.60812779,0.0563125039464214,0.00710019373530657
2013-02-01,804393.897933231,0.0618944967017536,0.00744352843487217
2013-03-01,810005.759591825,0.0667556082329541,0.00697650948498407
2013-04-01,816457.696313557,0.0720532158287763,0.00796529733934648
2013-05-01,822902.496127403,0.0769241273854928,0.00789361144238754
2013-06-01,829726.398349679,0.0816061106621118,0.00829247967333768
2013-07-01,836443.271119072,0.085721752021396,0.00809528632902778
2013-08-01,843451.877072418,0.0894737910053527,0.00837905712836839
2013-09-01,850478.776366551,0.0926583119331847,0.00833112058333718
2013-10-01,857245.101872831,0.0951457259395803,0.00795590165716664
2013-11-01,864149.337784763,0.097052813057168,0.00805398117393619
2013-12-01,870700.293893088,0.0982300291826874,0.00758081482202866
2014-01-01,877288.068560235,0.0987380554663269,0.00756606459576448
2014-02-01,883646.080761664,0.0985240975000679,0.00724734831041718
2014-03-01,889160.373542939,0.0977210507626527,0.00624038616967781
2014-04-01,894986.958436004,0.0961828916268654,0.00655290661441521
2014-05-01,900345.660256295,0.0941097693752788,0.00598746358232383
2014-06-01,905598.128130575,0.0914418655737654,0.00583383483270739
2014-07-01,910417.942010854,0.0884395552525776,0.0053222436426954
2014-08-01,915174.799443565,0.0850349905202572,0.00522491617663401
2014-09-01,919770.146442219,0.0814733677090649,0.00502127790390183
2014-10-01,924153.708295214,0.0780507305042715,0.00476593186890351
2014-11-01,928718.210267,0.074719576419231,0.00493911557224225
2014-12-01,933269.379630432,0.0718606461674469,0.00490048468213344
2015-01-01,938232.593274511,0.0694692278378939,0.0053180933098278
2015-02-01,943559.4133559,0.0678024085645161,0.00567750483150142
2015-03-01,948669.518028079,0.0669273465798086,0.00541577414187921
2015-04-01,954614.663570457,0.0666241050469083,0.00626682467329198
2015-05-01,960563.99085104,0.066883568448149,0.00623217671759946
2015-06-01,966607.173957784,0.0673687852614608,0.00629128633209497
2015-07-01,972033.730735308,0.0676785747305924,0.00561402493559471
2015-08-01,976977.387317569,0.0675309109380866,0.00508588995005521
2015-09-01,981042.499525873,0.0666170274395876,0.00416090716230944
2015-10-01,983997.988059181,0.064755764356951,0.00301259989728875
2015-11-01,986118.611385196,0.0618060467466166,0.00215510941256891
2015-12-01,987399.634067449,0.0580006754946283,0.00129905537474206
2016-01-01,988075.743806951,0.0531245139954928,0.000684737684898851
2016-02-01,988248.308262756,0.047362036003556,0.000174646991272454
2016-03-01,988089.951501263,0.0415533889558548,-0.000160239850823585
2016-04-01,987712.944585149,0.0346718757607358,-0.000381551209524433
2016-05-01,987271.320443101,0.0278038005238963,-0.000447117904518235
